city,title,brand,brand_series,version,year,distance,disaplacement,tl_number,price,guiding_price,service,is_strict
bj,路虎 发现神行 2017款 2.0T PURE,路虎,发现神行,PURE,2017,1.9,2.0T,2.0,25.62,39.90,店内直卖,严选车
bj,奥迪Q5 2017款 Plus 40 TFSI 技术型,奥迪Q5,,,2017,2.2,,,27.53,46.40,店内直卖,严选车
bj,大众 途锐 2011款 3.0TSI 标配型(进口),大众,途锐,SI 标配型(进口),2014,6.8,3.0T,3.0,29.69,78.20,到店服务,严选车
bj,福特 蒙迪欧 2013款 2.0L GTDi200豪华型,福特,蒙迪欧,GTDi200豪华型,2015,2.9,2.0L,2.0,12.99,24.20,到店服务,严选车
bj,现代 索纳塔九 2015款 2.4L TOP旗舰型,现代,索纳塔九,TOP旗舰型,2015,8.0,2.4L,2.4,13.59,27.10,店内直卖,严选车
bj,福特 蒙迪欧-致胜 2011款 2.0L GTDi200时尚型,福特,蒙迪欧-致胜,GTDi200时尚型,2013,3.1,2.0L,2.0,7.77,21.70,店内直卖,严选车
bj,大众 捷达 2010款 1.6L 伙伴,大众,捷达,伙伴,2012,6.9,1.6L,1.6,2.80,8.20,店内直卖,严选车
bj,大众 凌渡 2015款 280TSI DSG舒适版,大众,凌渡,DSG舒适版,2015,7.3,280TSI,280,11.30,11.58,到店服务,严选车
bj,斯柯达 晶锐 2014款 1.4L 自动晶致版,斯柯达,晶锐,自动晶致版,2014,2.4,1.4L,1.4,4.01,4.1,店内直卖,严选车
bj,别克 英朗 2011款 GT 1.8L 自动时尚版真皮款,别克,英朗,自动时尚版真皮款,2011,8.4,1.8L,1.8,4.32,17.90,店内直卖,严选车
bj,起亚KX5 2016款 1.6T 自动两驱Premium,起亚KX5,,自动两驱Premium,2016,2.1,1.6T,1.6,11.44,21.00,到店服务,严选车
bj,别克 君越 2012款 2.4L SIDI雅致版,别克,君越,SIDI雅致版,2013,5.3,2.4L,2.4,9.54,25.60,店内直卖,严选车
bj,Smart smart fortwo 2012款 1.0 MHD 硬顶标准版,Smart,smart,,2014,4.2,,,5.32,12.50,到店服务,严选车
bj,标致3008 2013款 1.6THP 自动至尚版,标致3008,,HP 自动至尚版,2013,4.8,1.6T,1.6,7.44,7.62,店内直卖,严选车
bj,宝马3系 2013款 320Li 时尚型,宝马3系,,,2012,15.3,,,13.90,14.25,到店服务,严选车
bj,别克 君威 2015款 1.6T 领先技术型,别克,君威,领先技术型,2016,5.9,1.6T,1.6,10.00,20.60,到店服务,非严选
bj,丰田 卡罗拉 2011款 1.6L 手动GL天窗版,丰田,卡罗拉,手动GL天窗版,2011,12.5,1.6L,1.6,4.70,14.20,到店服务,非严选
bj,日产 西玛 2016款 2.5L XE 精英版,日产,西玛,XE 精英版,2017,2.6,2.5L,2.5,15.54,25.50,到店服务,严选车
bj,Jeep 自由客 2011款 2.4 运动版(进口),Jeep,自由客,,2012,9.3,,,9.14,26.70,到店服务,严选车
bj,奥迪A3 2016款 Sportback 35 TFSI 领英型,奥迪A3,,,2016,4.3,,,13.80,22.70,到店服务,严选车
bj,日产 天籁 2013款 2.5L XL领先版,日产,天籁,XL领先版,2014,9.6,2.5L,2.5,11.70,22.30,到店服务,非严选
