city,title,brand,brand_series,version,year,distance,disaplacement,price,guiding_price,service,is_strict
cd,大众 宝来 2011款 1.6L 自动时尚型,大众,宝来,自动时尚型,2011,15.5,1.6L,3.87,4,到店服务,严选车
cd,福特 福克斯 2011款 两厢 1.8L 自动时尚型,福特,福克斯,自动时尚型,2010,13.3,1.8L,3.63,13.90,到店服务,严选车
cd,大众POLO 2016款 1.4L 手动风尚型,大众POLO,,手动风尚型,2017,1.4,1.4L,5.46,8.20,店内直卖,严选车
cd,陆风X7 2016款 2.0T 全景尊贵版,陆风X7,,全景尊贵版,2017,1.6,2.0T,8.83,15.20,店内直卖,严选车
cd,福特 福克斯 2012款 三厢 1.6L 手动舒适型,福特,福克斯,手动舒适型,2013,6.9,1.6L,4.30,13.00,到店服务,严选车
cd,江淮 瑞风S3 2016款 1.5L 手动豪华智能型,江淮,瑞风S3,手动豪华智能型,2015,3.5,1.5L,4.06,8.10,到店服务,严选车
cd,沃尔沃XC60 2017款 T5 智进升级版,沃尔沃XC60,,,2017,3.4,,22.14,23.34,到店服务,严选车
cd,凯翼E3 2018款 1.5L 手动旗舰型,凯翼E3,,手动旗舰型,2017,2.4,1.5L,2.99,3.04,到店服务,严选车
cd,奥迪A6L 2012款 30 FSI 舒适型,奥迪A6L,,,2013,9.5,,20.21,51.30,到店服务,严选车
cd,别克 昂科威 2016款 20T 两驱精英型,别克,昂科威,,2016,1.9,,12.80,25.60,到店服务,非严选
cd,比亚迪S6 2013款 白金版 2.0L 手动豪华型,比亚迪S6,,手动豪华型,2015,5.0,2.0L,3.98,8.70,到店服务,严选车
cd,福特 蒙迪欧 2013款 2.0L GTDi200时尚型,福特,蒙迪欧,GTDi200时尚型,2016,2.0,2.0L,13.84,22.00,到店服务,严选车
cd,大众 迈腾 2018款 280TSI DSG 越享型,大众,迈腾,DSG 越享型,2018,1.1,280TSI,16.48,21.50,到店服务,严选车
cd,福特 翼搏 2013款 1.5L 手动舒适型,福特,翼搏,手动舒适型,2014,4.1,1.5L,4.87,10.30,到店服务,严选车
cd,奥迪A4L 2013款 35 TFSI 自动技术型,奥迪A4L,,,2013,6.6,,15.73,16.02,到店服务,严选车
cd,福特 金牛座 2017款 EcoBoost 325 V6 LTD限量版,福特,金牛座,,2019,500公里,,25.00,40.10,到店服务,严选车
cd,起亚 智跑 2016款 2.0L 自动两驱版DLX,起亚,智跑,自动两驱版DLX,2018,1.7,2.0L,11.76,19.30,到店服务,严选车
cd,现代 名图 2014款 1.8L 自动尊贵型DLX,现代,名图,自动尊贵型DLX,2015,8.1,1.8L,7.79,7.99,到店服务,严选车
cd,奔驰C级 2011款 C 200 CGI 时尚型,奔驰C级,,,2012,9.1,,13.83,14.08,到店服务,严选车
cd,奥迪Q3 2015款 35 TFSI quattro 技术型,奥迪Q3,,,2014,9.2,,16.68,36.20,到店服务,严选车
cd,丰田 RAV4 2013款 2.5L 自动四驱豪华版,丰田,RAV4,自动四驱豪华版,2013,4.8,2.5L,13.80,27.40,到店服务,严选车
cd,丰田 汉兰达 2017款 2.0T 四驱至尊版 7座,丰田,汉兰达,四驱至尊版 7座,2017,4.5,2.0T,29.11,29.83,到店服务,严选车
cd,Jeep 自由光 2016款 2.4L 优越版,Jeep,自由光,优越版,2016,3.1,2.4L,15.35,29.90,到店服务,严选车
cd,奔腾B70 2016款 2.0L 手动十周年纪念版,奔腾B70,,手动十周年纪念版,2016,2.7,2.0L,5.51,11.40,到店服务,严选车
cd,奥迪A6L 2012款 30 FSI 舒适型,奥迪A6L,,,2013,6.8,,21.93,22.58,到店服务,严选车
cd,标致508 2015款 1.6THP 自动致臻版,标致508,,HP 自动致臻版,2015,3.8,1.6T,10.65,23.80,到店服务,严选车
cd,凯迪拉克XT5 2016款 28T 四驱技术型,凯迪拉克XT5,,,2017,4.3,,26.31,41.20,到店服务,严选车
cd,本田 雅阁 2016款 2.0L 精英版,本田,雅阁,精英版,2017,3.4,2.0L,15.81,20.60,到店服务,严选车
cd,长安CX20 2014款 1.4L IMT天窗导航版 国IV,长安CX20,,IMT天窗导航版 国IV,2015,6.1,1.4L,2.91,2.99,到店服务,严选车
cd,别克 昂科威 2014款 28T 四驱豪华型,别克,昂科威,,2015,2.4,,16.56,16.99,到店服务,严选车
cd,现代 索纳塔九 2018款 1.6T GLS智能型,现代,索纳塔九,GLS智能型,2019,100公里,1.6T,14.64,14.91,到店服务,严选车
cd,现代 索纳塔九 2018款 1.6T GLS智能型,现代,索纳塔九,GLS智能型,2019,100公里,1.6T,14.80,15.07,到店服务,严选车
cd,斯柯达 明锐 2010款 1.8TSI DSG逸尊版,斯柯达,明锐,SI DSG逸尊版,2011,8.4,1.8T,6.09,20.10,到店服务,严选车
cd,现代 索纳塔九 2018款 1.6T GLS智能型,现代,索纳塔九,GLS智能型,2019,100公里,1.6T,14.55,14.91,到店服务,严选车
cd,雪铁龙C3-XR 2018款 1.6L 自动时尚型,雪铁龙C3-XR,,自动时尚型,2018,1.5,1.6L,7.53,7.74,到店服务,严选车
cd,别克 君越 2014款 2.0T SIDI 精英技术型,别克,君越,SIDI 精英技术型,2015,3.4,2.0T,13.43,13.76,到店服务,严选车
cd,福特 翼虎 2013款 1.6L GTDi 两驱风尚型,福特,翼虎,GTDi 两驱风尚型,2013,2.5,1.6L,11.22,23.60,到店服务,严选车
cd,吉利 帝豪 2017款 三厢百万款 1.5L 手动豪华型,吉利,帝豪,手动豪华型,2018,2.9,1.5L,4.97,5.03,到店服务,严选车
cd,Jeep 指南者 2015款 2.0L 两驱运动版(进口),Jeep,指南者,两驱运动版(进口),2015,4.3,2.0L,10.87,24.10,到店服务,严选车
cd,雪佛兰 迈锐宝 2014款 2.0L 自动豪华版,雪佛兰,迈锐宝,自动豪华版,2015,3.8,2.0L,9.50,20.30,到店服务,严选车
cd,别克 昂科拉 2014款 1.4T 自动两驱都市精英型,别克,昂科拉,自动两驱都市精英型,2014,3.8,1.4T,6.99,7.19,到店服务,严选车
cd,福特 福克斯 2012款 三厢 1.6L 自动风尚型,福特,福克斯,自动风尚型,2014,8.3,1.6L,6.30,15.60,到店服务,严选车
cd,丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版,丰田,YARiS,,2018,0.3,,7.38,9.30,到店服务,严选车
cd,斯柯达 速派 2013款 1.4TSI DSG绅仕版,斯柯达,速派,SI DSG绅仕版,2015,5.7,1.4T,8.93,9.1,到店服务,严选车
cd,福特 翼虎 2013款 1.6L GTDi 四驱精英型,福特,翼虎,GTDi 四驱精英型,2014,7.9,1.6L,11.20,11.39,到店服务,严选车
cd,奥迪Q3 2015款 30 TFSI 进取型,奥迪Q3,,,2014,5.3,,15.42,29.00,到店服务,严选车
cd,Jeep 指南者 2014款 2.4L 四驱运动版(进口),Jeep,指南者,四驱运动版(进口),2014,7.3,2.4L,10.87,26.70,到店服务,严选车
cd,福特 福克斯 2012款 两厢 1.6L 自动舒适型,福特,福克斯,自动舒适型,2012,7.0,1.6L,4.94,14.20,到店服务,严选车
cd,别克 英朗 2015款 15N 自动豪华型,别克,英朗,,2015,5.1,,6.87,7.07,到店服务,严选车
cd,长安 逸动 2015款 1.6L 自动尊贵型,长安,逸动,自动尊贵型,2015,4.6,1.6L,4.83,4.98,到店服务,严选车
cd,起亚K3 2015款 1.6L 手动GLS,起亚K3,,手动GLS,2015,7.5,1.6L,5.84,12.50,到店服务,严选车
cd,大众 朗境 2014款 1.4TSI DSG,大众,朗境,SI DSG,2015,6.8,1.4T,8.34,8.65,到店服务,严选车
cd,奥迪A6L 2012款 30 FSI 舒适型,奥迪A6L,,,2013,11.3,,21.93,51.30,到店服务,严选车
cd,福特 翼虎 2013款 1.6L GTDi 两驱风尚型,福特,翼虎,GTDi 两驱风尚型,2014,13.1,1.6L,10.01,23.60,到店服务,严选车
cd,吉利 博瑞 2015款 1.8T 旗舰型,吉利,博瑞,旗舰型,2015,5.9,1.8T,8.30,8.58,到店服务,严选车
cd,现代 索纳塔八 2014款 2.4L 自动豪华版 国IV,现代,索纳塔八,自动豪华版 国IV,2014,5.6,2.4L,8.73,8.98,到店服务,严选车
cd,雪佛兰 科鲁兹 2012款 1.8L SE AT,雪佛兰,科鲁兹,SE AT,2012,6.2,1.8L,4.22,14.90,到店服务,严选车
