title,brand,brand_version,is_strict,year,month,distance,disaplacement,city,transmission,price,guiding_price
本田 雅阁 2012款 2.0L MT 严选车0过户,本田,雅阁,严选车,2012,03,4.58,2.0,,手动,7.57,20.30
大众 途锐 2011款 3.0TSI 标配型(进口) 严选车0过户,大众,途锐,严选车,2014,09,6.84,3.0,,自动,29.69,78.20
现代 索纳塔九 2015款 2.4L TOP旗舰型 严选车0过户,现代,索纳塔九,严选车,2015,08,7.97,2.4,唐山,自动,13.59,27.10
福特 蒙迪欧 2013款 2.0L GTDi200豪华型 严选车0过户,福特,蒙迪欧,严选车,2015,09,2.92,2.0,,自动,12.99,24.20
起亚KX5 2016款 1.6T 自动两驱Premium 严选车0过户,起亚KX5,,严选车,2016,12,2.1,1.6,,自动,11.44,21.00
Smart smart fortwo 2012款 1.0 MHD 硬顶标准版 严选车,Smart,smart,严选车,2014,05,4.21,1.0,,自动,5.32,12.50
福特 蒙迪欧 2013款 1.5L GTDi180时尚型 严选车0过户,福特,蒙迪欧,严选车,2016,08,3.25,1.5,北京,自动,11.16,20.60
斯柯达 明锐 2010款 1.6L 手动逸俊版 严选车0过户,斯柯达,明锐,严选车,2011,04,7.79,1.6,北京,手动,4.25,14.90
宝马3系 2013款 320Li 时尚型 严选车降价急售0过户,宝马3系,,严选车,2012,12,15.28,2.0,,自动,13.90,14.25
日产 西玛 2016款 2.5L XE 精英版 严选车,日产,西玛,严选车,2017,01,2.58,2.5,,自动,15.54,25.50
奥迪A3 2016款 Sportback 35 TFSI 领英型 严选车,奥迪A3,,严选车,2016,10,4.29,1.4,北京,自动,13.80,22.70
奔驰A级(进口) 2013款 A 200 都市型(进口) 严选车0过户,奔驰A级(进口),,严选车,2014,08,6.46,1.6,,自动,13.34,30.20
马自达8 2015款 2.5L 精英版 严选车降价急售0过户,马自达8,,严选车,2015,01,8.61,2.5,,自动,12.23,12.71
奔驰GLA级 2018款 GLA 200 动感型 严选车准新车0过户,奔驰GLA级,,严选车,2018,09,0.57,1.6,,自动,22.87,29.30
宝马3系 2012款 318i领先型(进口) 严选车0过户,宝马3系,,严选车,2012,03,5.39,2.0,,自动,11.32,32.50
三菱 帕杰罗·劲畅 2011款 3.0L 豪华导航版(进口) 严选车降价急售0过户,三菱,帕杰罗·劲畅,严选车,2012,05,13.05,3.0,,自动,12.14,12.33
宝马1系 2017款 118i 时尚型 严选车,宝马1系,,严选车,2017,12,5.41,1.5,,自动,12.80,22.20
奥迪A1 2012款 1.4 TFSI Ego(进口) 严选车0过户,奥迪A1,,严选车,2012,12,5.49,1.4,,自动,9.00,27.10
英菲尼迪G系列 2013款 G25 Sedan 豪华运动版(进口) 严选车0过户,英菲尼迪G系列,,严选车,2013,11,7.68,2.5,,自动,16.00,40.80
奔驰C级 2015款 改款 C 180 L 运动型 严选车降价急售0过户,奔驰C级,,严选车,2015,05,1.94,1.6,,自动,22.82,23.93
奥迪Q5 2012款 2.0TFSI 技术型 严选车降价急售0过户,奥迪Q5,,严选车,2013,03,6.17,2.0,,自动,18.00,18.1
宝马5系 2013款 520Li 典雅型 严选车0过户,宝马5系,,严选车,2013,07,7.92,2.0,,自动,20.51,46.50
别克GL8 2014款 2.4L 行政版 严选车0过户,别克GL8,,严选车,2016,06,2.19,2.4,,自动,14.57,26.90
宝马5系 2014款 520Li 典雅型 严选车降价急售0过户,宝马5系,,严选车,2014,01,8.13,2.0,,自动,23.56,24.14
大众 帕萨特 2014款 1.8TSI DSG御尊版 严选车0过户,大众,帕萨特,严选车,2014,10,5.33,1.8,,自动,12.89,26.00
别克GL8 2014款 2.4L CT豪华商务舒适版 严选车0过户,别克GL8,,严选车,2015,10,2.96,2.4,,自动,18.32,31.50
奔驰B级 2009款 B 200 豪华型(进口) 严选车降价急售0过户,奔驰B级,,严选车,2012,04,8.28,2.0,,自动,8.46,8.86
奥迪Q3 2015款 30 TFSI 舒适型 严选车降价急售0过户,奥迪Q3,,严选车,2016,01,2.04,1.4,,自动,17.29,17.63
观致5 2016款 1.6T 自动豪华型 严选车0过户,观致5,,严选车,2016,09,3.46,1.6,,自动,8.67,21.20
大众 桑塔纳 2016款 1.4L 手动风尚版 严选车准新车,大众,桑塔纳,严选车,2018,04,1.93,1.4,,手动,5.10,9.20
Smart smart fortwo 2011款 1.0 MHD 硬顶标准版 严选车,Smart,smart,严选车,2012,03,4.74,1.0,北京,自动,4.14,12.50
别克 英朗 2012款 GT 1.6L 手动舒适版 严选车0过户,别克,英朗,严选车,2012,08,11.39,1.6,,手动,4.32,14.40
标致508 2015款 1.6THP 自动致臻版 严选车0过户,标致508,,严选车,2016,06,2.22,1.6,,自动,12.03,23.80
沃尔沃XC60 2011款 T6 AWD智尊版(进口) 严选车降价急售0过户,沃尔沃XC60,,严选车,2013,01,9.52,3.0,,自动,15.71,16.1
现代 全新胜达 2017款 2.0T 自动四驱智能型 7座 严选车准新车0过户,现代,全新胜达,严选车,2018,09,1.19,2.0,,自动,17.16,27.10
北汽绅宝 绅宝X55 2016款 1.5L 手动舒适版 严选车,北汽绅宝,绅宝X55,严选车,2016,04,3.5,1.5,,手动,4.12,8.70
福特 蒙迪欧 2013款 2.0L GTDi240豪华运动型 严选车降价急售0过户,福特,蒙迪欧,严选车,2014,05,14.02,2.0,,自动,9.79,10.03
大众 途观 2013款 1.8TSI 自动四驱豪华型 严选车降价急售,大众,途观,严选车,2014,05,8.01,1.8,,自动,13.30,13.51
标致308S 2015款 1.2T 自动劲驰版 严选车0过户,标致308S,,严选车,2016,11,3.45,1.2,,自动,7.74,15.70
宝马3系 2010款 320i豪华型(进口) 严选车降价急售0过户,宝马3系,,严选车,2011,05,8,2.0,,自动,10.71,10.97
奇瑞E3 2013款 1.5L 手动智尚型 严选车0过户,奇瑞E3,,严选车,2015,04,1.86,1.5,,手动,2.60,6.60
大众 途观 2010款 1.8TSI 自动四驱菁英版 严选车0过户,大众,途观,严选车,2011,04,7.11,1.8,,自动,9.89,29.00
日产 阳光 2011款 1.5XL CVT豪华版 严选车降价急售0过户,日产,阳光,严选车,2012,09,5.44,1.5,,自动,4.36,4.42
福特 嘉年华 2013款 三厢 1.5L 自动时尚型 严选车0过户,福特,嘉年华,严选车,2014,07,3.43,1.5,,自动,4.43,10.70
现代 名图 2014款 2.0L 自动至尊型LUX 严选车,现代,名图,严选车,2014,04,9.21,2.0,北京,自动,7.85,19.20
标致308 2014款 乐享版 经典 1.6L 自动优尚型 严选车0过户,标致308,,严选车,2017,01,0.87,1.6,,自动,6.92,12.60
北汽绅宝 绅宝X55 2016款 1.5T CVT豪华版 严选车准新车0过户,北汽绅宝,绅宝X55,严选车,2018,09,2.08,1.5,北京,自动,6.38,13.00
哈弗H2 2014款 1.5T 手动两驱精英版 严选车降价急售0过户,哈弗H2,,严选车,2015,03,4.09,1.5,,手动,5.23,5.44
雪佛兰 科鲁兹 2012款 1.6L SE MT 严选车0过户,雪佛兰,科鲁兹,严选车,2012,05,13.31,1.6,,手动,2.89,13.00
大众 捷达 2013款 1.6L 手动舒适型 严选车降价急售0过户,大众,捷达,严选车,2014,09,2.59,1.6,,手动,5.00,5.12
别克 昂科拉 2013款 1.4T 自动两驱精英型 严选车,别克,昂科拉,严选车,2013,12,6.78,1.4,,自动,6.28,17.40
本田CR-V 2013款 2.4L 两驱豪华版 严选车降价急售0过户,本田CR-V,,严选车,2013,11,11.35,2.4,,自动,12.27,12.57
奇瑞 艾瑞泽5 2016款 1.5L 手动领潮版 严选车0过户,奇瑞,艾瑞泽5,严选车,2016,06,3.52,1.5,,手动,3.72,6.90
现代ix25 2015款 1.6L 自动两驱智能型GLS 严选车降价急售0过户,现代ix25,,严选车,2015,06,12.32,1.6,,自动,7.20,7.5
日产 逍客 2011款 2.0XL 火 CVT 2WD 严选车降价急售0过户,日产,逍客,严选车,2012,05,4.87,2.0,,自动,6.99,7.26
雪佛兰 创酷 2016款 1.4T 手动两驱舒适天窗版 严选车0过户,雪佛兰,创酷,严选车,2016,04,2.19,1.4,,手动,5.91,11.90
荣威i6 2017款 20T 自动旗舰版 严选车0过户,荣威i6,,严选车,2017,09,2.46,1.5,,自动,7.80,12.70
马自达6 2011款 2.0L 自动时尚型 严选车0过户,马自达6,,严选车,2012,02,9.87,2.0,,自动,5.13,19.50
大众 高尔夫 2011款 1.4TSI 自动舒适型 严选车0过户,大众,高尔夫,严选车,2011,09,6.06,1.4,,自动,6.21,16.30
别克 君威 2012款 2.0L 舒适版 严选车,别克,君威,严选车,2013,03,4.32,2.0,,自动,6.82,20.20
现代 朗动 2013款 1.6L 自动尊贵型 严选车,现代,朗动,严选车,2014,11,5.63,1.6,,自动,5.99,14.60
陆风X2 2017款 1.6L 手动劲锐版 严选车准新车,陆风X2,,严选车,2018,06,0.91,1.6,,手动,4.37,7.30
本田 缤智 2017款 1.5L CVT两驱舒适型 严选车0过户,本田,缤智,严选车,2017,06,1.45,1.5,,自动,11.10,14.80
本田CR-V 2012款 2.0L 两驱都市版 严选车降价急售0过户,本田CR-V,,严选车,2013,10,3.32,2.0,,自动,11.70,12.19
大众 宝来 2016款 1.6L 自动舒适型 严选车0过户,大众,宝来,严选车,2017,02,5.7,1.6,,自动,8.80,14.30
福特 蒙迪欧 2013款 1.5L GTDi180时尚型 严选车,福特,蒙迪欧,严选车,2015,11,5.26,1.5,,自动,11.16,20.60
日产 轩逸 2012款 1.6XL CVT豪华版 严选车,日产,轩逸,严选车,2014,07,12.96,1.6,,自动,6.80,14.70
哈弗H6 2015款 升级版 1.5T 手动两驱精英型 严选车降价急售0过户,哈弗H6,,严选车,2015,11,4.93,1.5,,手动,5.52,5.6
起亚K2 2011款 三厢 1.4L MT GLS 严选车,起亚K2,,严选车,2011,12,5.41,1.4,,手动,2.75,8.50
别克 君越 2016款 28T 旗舰型 严选车降价急售0过户,别克,君越,严选车,2016,04,3.68,2.0,,自动,19.28,20.1
现代 新胜达 2011款 2.4 舒适版 五座两驱(进口) 严选车降价急售0过户,现代,新胜达,严选车,2011,10,12.03,2.4,,自动,6.82,6.98
福特 蒙迪欧 2013款 1.5L GTDi180时尚型 严选车降价急售0过户,福特,蒙迪欧,严选车,2014,03,4.32,1.5,,自动,9.62,9.85
福特 蒙迪欧 2013款 1.5L GTDi180时尚型 严选车降价急售0过户,福特,蒙迪欧,严选车,2014,03,4.32,1.5,,自动,9.62,9.85
北京BJ80 2016款 2.3T 自动尊贵版 严选车0过户,北京BJ80,,严选车,2017,04,4.26,2.3,,自动,18.96,32.30
启辰R50X 2013款 1.6L 自动版 严选车0过户,启辰R50X,,严选车,2013,12,2.56,1.6,,自动,4.25,9.60
福特 翼虎 2015款 1.5L GTDi 四驱精英型 严选车降价急售0过户,福特,翼虎,严选车,2015,05,8.07,1.5,,自动,11.90,12.37
别克 君越 2018款 28T 精英型 严选车降价急售准新车0过户,别克,君越,严选车,2018,01,1.64,2.0,,自动,19.04,19.51
奥迪A6L 2012款 TFSI 标准型 严选车0过户,奥迪A6L,,严选车,2013,03,14.81,2.0,,自动,19.56,44.50
福特 蒙迪欧 2013款 2.0L GTDi240豪华运动型 严选车降价急售0过户,福特,蒙迪欧,严选车,2014,11,10.43,2.0,,自动,10.91,11.18
现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV 严选车0过户,现代ix35,,严选车,2015,04,6,2.0,,自动,8.75,21.40
别克 君越 2012款 2.4L SIDI雅致版 严选车0过户,别克,君越,严选车,2013,12,5.31,2.4,北京,自动,9.54,25.60
宝马5系 2014款 525Li 豪华设计套装 严选车降价急售0过户,宝马5系,,严选车,2015,12,12.73,2.0,,自动,27.86,28.22
凯迪拉克XTS 2013款 28T 领先型 严选车降价急售0过户,凯迪拉克XTS,,严选车,2014,01,14.49,2.0,,自动,16.28,16.68
别克GL8 2014款 2.4L 经典版 严选车0过户,别克GL8,,严选车,2017,01,3.78,2.4,,自动,14.38,22.70
MG 名爵ZS 2017款 1.5L 手动尊享互联网版 严选车0过户,MG,名爵ZS,严选车,2017,05,2.51,1.5,,手动,6.06,10.50
奔驰GLA级 2015款 GLA 220 4MATIC 时尚型 严选车0过户,奔驰GLA级,,严选车,2016,03,4.93,2.0,北京,自动,21.66,34.70
雪佛兰 乐风RV 2016款 1.5L 自动畅行版 严选车0过户,雪佛兰,乐风RV,严选车,2016,09,2.79,1.5,廊坊,自动,4.40,9.00
别克 凯越 2011款 1.6LE-MT 严选车,别克,凯越,严选车,2012,08,7.08,1.6,,手动,2.96,11.70
别克GL8 2014款 2.4L 经典版 严选车0过户,别克GL8,,严选车,2015,09,5.55,2.4,,自动,12.27,22.70
雪佛兰 科帕奇 2014款 2.4L 四驱旗舰版 7座 严选车降价急售0过户,雪佛兰,科帕奇,严选车,2013,11,2.06,2.4,天津,自动,8.59,8.93
大众 途观 2015款 1.8TSI 自动两驱豪华型 严选车0过户,大众,途观,严选车,2015,01,6.08,1.8,,自动,14.48,28.20
丰田 汉兰达 2012款 2.7L 两驱7座豪华版 严选车0过户,丰田,汉兰达,严选车,2013,09,11.38,2.7,,自动,16.49,32.40
本田 思铂睿 2009款 2.4L 尊贵版 严选车0过户,本田,思铂睿,严选车,2012,11,6.67,2.4,,自动,9.58,27.10
奥迪A6L 2012款 35 FSI 舒适型 严选车0过户,奥迪A6L,,严选车,2012,12,9.03,2.8,,自动,20.65,59.90
别克 英朗 2010款 XT 1.6T 新锐运动版 严选车降价急售0过户,别克,英朗,严选车,2011,07,6.55,1.6,,自动,4.87,4.94
福特 蒙迪欧 2013款 2.0L GTDi200豪华型 严选车降价急售0过户,福特,蒙迪欧,严选车,2014,03,7.35,2.0,,自动,10.77,11.23
传祺GA6 2016款 235T 自动豪华版 严选车0过户,传祺GA6,,严选车,2017,12,6.15,1.5,,自动,7.79,14.80
标致3008 2015款 2.0L 自动经典版 严选车,标致3008,,严选车,2016,06,3.68,2.0,,自动,8.05,18.60
现代 朗动 2012款 1.6L 自动时尚型 严选车0过户,现代,朗动,严选车,2013,08,5.78,1.6,唐山,自动,5.48,12.60
雪佛兰 科帕奇 2012款 2.4L 四驱旗舰版 7座 严选车降价急售0过户,雪佛兰,科帕奇,严选车,2013,01,5.76,2.4,,自动,9.18,9.45
雪佛兰 科沃兹 2016款 1.5L 自动欣悦版 严选车0过户,雪佛兰,科沃兹,严选车,2017,09,1.8,1.5,,自动,6.56,10.80
奥迪A6L 2016款 45 TFSI quattro 运动型 严选车降价急售0过户,奥迪A6L,,严选车,2016,07,2.88,3.0,,自动,33.92,34.46
别克 君威 2014款 GS 2.0T 豪情运动版 严选车0过户,别克,君威,严选车,2014,05,8.17,2.0,,自动,9.45,26.00
奥迪A6L 2014款 30 FSI 技术型 严选车降价急售0过户,奥迪A6L,,严选车,2015,07,11.98,2.5,,自动,24.90,25.75
吉利 博瑞 2015款 1.8T 舒适型 严选车,吉利,博瑞,严选车,2016,03,4.13,1.8,,自动,7.41,15.20
丰田 RAV4 2011款 2.0L 自动四驱版 严选车0过户,丰田,RAV4,严选车,2012,09,7.27,2.0,廊坊,自动,9.47,23.60
日产 阳光 2015款 1.5XE CVT舒适版 严选车0过户,日产,阳光,严选车,2016,06,3.31,1.5,石家庄,自动,5.61,9.70
福特 蒙迪欧 2013款 1.5L GTDi180时尚型 严选车降价急售,福特,蒙迪欧,严选车,2014,10,9.24,1.5,,自动,8.50,8.95
哈弗H9 2017款 2.0T 汽油四驱尊享型 5座 严选车0过户,哈弗H9,,严选车,2017,08,2.85,2.0,,自动,19.22,27.80
宝马5系 2014款 520Li 典雅型 严选车0过户,宝马5系,,严选车,2014,09,6.17,2.0,,自动,24.53,47.30
别克 君越 2016款 28T 豪华型 严选车降价急售0过户,别克,君越,严选车,2017,07,0.64,2.0,,自动,20.09,20.58
奥迪A6L 2012款 TFSI 标准型 严选车降价急售0过户,奥迪A6L,,严选车,2013,11,12.03,2.0,,自动,19.50,20.15
马自达 昂克赛拉 2014款 两厢 1.5L 自动豪华型 严选车0过户,马自达,昂克赛拉,严选车,2014,11,7.86,1.5,,自动,7.75,15.10
大众CC 2013款 2.0TSI 至尊型 严选车降价急售0过户,大众CC,,严选车,2013,12,11.66,2.0,,自动,13.80,14.25
奥迪Q5 2012款 2.0TFSI 舒适型 严选车降价急售0过户,奥迪Q5,,严选车,2012,06,15.99,2.0,,自动,15.28,15.97
北汽绅宝 绅宝D70 2013款 2.0T 豪华版 严选车,北汽绅宝,绅宝D70,严选车,2014,07,4.28,2.0,,自动,4.67,19.70
别克GL8 2014款 2.4L 经典版 严选车降价急售,别克GL8,,严选车,2015,11,9.79,2.4,,自动,10.80,11.02
福特 福克斯 2012款 两厢 1.6L 自动风尚型 严选车0过户,福特,福克斯,严选车,2012,11,9.02,1.6,,自动,4.77,15.60
日产 逍客 2011款 2.0XV 雷 CVT 2WD 严选车降价急售0过户,日产,逍客,严选车,2011,06,11.9,2.0,,自动,6.28,6.78
大众 途观 2012款 2.0TSI 自动四驱菁英版 严选车,大众,途观,严选车,2012,04,7.33,2.0,,自动,10.86,31.10
长安 奔奔 2015款 1.4L 手动尊贵型 国V 严选车,长安,奔奔,严选车,2015,10,2,1.4,,手动,2.77,5.30
大众 迈腾 2017款 330TSI DSG 尊贵型 严选车0过户,大众,迈腾,严选车,2017,02,4.65,1.8,北京,自动,18.17,28.10
英菲尼迪QX50 2015款 2.5L 舒适版 严选车降价急售0过户,英菲尼迪QX50,,严选车,2015,04,6.39,2.5,,自动,18.85,19.31
大众 速腾 2012款 1.4TSI 手动豪华型 严选车降价急售,大众,速腾,严选车,2012,09,10.65,1.4,,手动,5.25,5.53
本田CR-V 2015款 2.4L 两驱豪华版 严选车降价急售,本田CR-V,,严选车,2016,05,5.88,2.4,,自动,15.10,15.65
别克 君威 2014款 2.0L 领先时尚型 严选车,别克,君威,严选车,2014,04,7.85,2.0,,自动,7.83,19.40
大众 朗逸 2018款 280TSI DSG舒适版 严选车准新车0过户,大众,朗逸,严选车,2018,11,0.32,1.4,,自动,12.26,15.90
奥迪Q3 2015款 35 TFSI 进取型 严选车降价急售,奥迪Q3,,严选车,2014,12,9.31,2.0,,自动,14.57,15.15
大众 速腾 2011款 1.6L 自动特别版 严选车降价急售,大众,速腾,严选车,2011,12,13.95,1.6,,自动,4.70,4.77
奥迪Q3 2015款 30 TFSI 进取型 严选车0过户,奥迪Q3,,严选车,2015,03,6.5,1.4,,自动,15.62,29.00
现代 新胜达 2012款 2.4 至尊版 七座四驱(进口) 严选车降价急售0过户,现代,新胜达,严选车,2012,08,13.11,2.4,,自动,8.30,8.5
吉利 帝豪 2014款 三厢 1.5L 手动精英型 严选车,吉利,帝豪,严选车,2013,03,7.81,1.5,,手动,2.84,8.30
福特 蒙迪欧 2013款 2.0L GTDi240豪华运动型 严选车降价急售0过户,福特,蒙迪欧,严选车,2014,12,6.29,2.0,石家庄,自动,11.07,11.51
雪铁龙 世嘉 2013款 两厢 1.6L 手动乐尚型 严选车降价急售0过户,雪铁龙,世嘉,严选车,2013,12,6.05,1.6,保定,手动,3.40,3.49
宝马3系 2013款 320Li 时尚型 严选车降价急售0过户,宝马3系,,严选车,2012,09,6.89,2.0,,自动,14.74,15.42
路虎 揽胜极光 2015款 2.0T 五门智耀版 严选车降价急售,路虎,揽胜极光,严选车,2015,05,5.4,2.0,,自动,21.11,21.63
丰田 卡罗拉 2014款 1.6L CVT GL-i真皮版 严选车0过户,丰田,卡罗拉,严选车,2015,10,6.18,1.6,,自动,8.30,14.60
别克GL8 2014款 2.4L 经典版 严选车0过户,别克GL8,,严选车,2015,03,5.6,2.4,,自动,11.79,22.70
大众 途观 2012款 2.0TSI 自动四驱旗舰版 严选车降价急售,大众,途观,严选车,2012,07,9.91,2.0,,自动,10.90,11.42
雪佛兰 迈锐宝 2013款 2.4L 自动豪华版 严选车降价急售0过户,雪佛兰,迈锐宝,严选车,2014,02,4.53,2.4,,自动,8.33,8.6
雪佛兰 科帕奇 2012款 2.4L 四驱旗舰版 7座 严选车降价急售0过户,雪佛兰,科帕奇,严选车,2012,09,14.69,2.4,,自动,7.27,7.6
本田CR-V 2010款 2.0L 自动两驱都市版 严选车降价急售0过户,本田CR-V,,严选车,2011,05,7.8,2.0,,自动,8.75,8.96
大众 途观 2010款 2.0TSI 自动四驱菁英版 严选车0过户,大众,途观,严选车,2011,09,7.39,2.0,,自动,11.58,30.60
