city,title,brand,brand_series,version,year,distance,disaplacement,price,guiding_price,service,is_strict
gz,凯迪拉克XTS 2016款 28T 技术型,凯迪拉克XTS,,,2016,1.8,,19.72,21.33,店内直卖,严选车
gz,北汽绅宝 绅宝D20 2015款 三厢 1.5L 自动乐天版,北汽绅宝,绅宝D20,自动乐天版,2015,2.7,1.5L,2.88,6.90,店内直卖,严选车
gz,传祺GS8 2017款 320T 两驱豪华智联版,传祺GS8,,,2017,4.0,,13.09,19.80,店内直卖,严选车
gz,别克 君威 2015款 2.0L 精英时尚型,别克,君威,精英时尚型,2016,2.4,2.0L,11.48,21.00,店内直卖,严选车
gz,江淮 瑞风S2 2015款 1.5L CVT豪华智能型,江淮,瑞风S2,CVT豪华智能型,2015,4.3,1.5L,3.77,8.20,到店服务,严选车
gz,大众POLO 2014款 1.4L 手动风尚版,大众POLO,,手动风尚版,2015,3.1,1.4L,4.58,8.20,到店服务,非严选
gz,本田 奥德赛 2017款 2.4L 舒适版,本田,奥德赛,舒适版,2016,5.6,2.4L,18.25,24.90,到店服务,严选车
gz,沃尔沃XC60 2017款 T5 AWD 智进升级版,沃尔沃XC60,,,2017,3.8,,23.94,43.30,到店服务,严选车
gz,现代 索纳塔九 2017款 1.6T GLS智能型,现代,索纳塔九,GLS智能型,2016,9.0,1.6T,11.08,21.10,到店服务,严选车
gz,Jeep 指南者 2017款 200T 自动悦享版,Jeep,指南者,,2018,0.5,,12.73,18.80,店内直卖,严选车
gz,奥迪A1 2012款 1.4 TFSI Ego(进口),奥迪A1,,,2012,5.1,,9.07,27.10,到店服务,严选车
gz,铃木 启悦 2015款 1.6L 自动乐享型,铃木,启悦,自动乐享型,2016,5.4,1.6L,6.36,11.20,到店服务,严选车
gz,雪佛兰 迈锐宝XL 2017款 1.5T 自动锐驰版,雪佛兰,迈锐宝XL,自动锐驰版,2018,0.7,1.5T,13.77,21.20,到店服务,严选车
gz,奇瑞 艾瑞泽5 2017款 1.5L 手动精英版,奇瑞,艾瑞泽5,手动精英版,2018,1.1,1.5L,4.89,7.50,到店服务,严选车
gz,福特 锐界 2015款 2.0T GTDi 两驱豪锐型,福特,锐界,GTDi 两驱豪锐型,2015,6.8,2.0T,18.06,32.50,到店服务,严选车
gz,大众 途观 2012款 1.8TSI 自动两驱风尚版,大众,途观,SI 自动两驱风尚版,2012,6.2,1.8T,9.96,25.40,到店服务,严选车
gz,荣威350 2011款 350S 1.5L 自动迅达版,荣威350,,自动迅达版,2012,10.7,1.5L,3.29,10.70,到店服务,严选车
gz,雪铁龙 世嘉 2012款 三厢 1.6L 手动品尚型,雪铁龙,世嘉,手动品尚型,2013,14.9,1.6L,3.08,11.60,到店服务,严选车
gz,别克 君越 2016款 20T 领先型,别克,君越,,2017,2.2,,15.19,15.69,到店服务,严选车
gz,吉利 帝豪 2014款 三厢 1.5L 手动时尚型,吉利,帝豪,手动时尚型,2015,6.0,1.5L,3.36,3.5,到店服务,严选车
gz,起亚 智跑 2016款 2.0L 自动两驱版DLX,起亚,智跑,自动两驱版DLX,2017,2.8,2.0L,11.28,19.30,到店服务,严选车
gz,奥迪Q5 2015款 40 TFSI 进取型,奥迪Q5,,,2014,3.9,,21.38,21.92,到店服务,严选车
gz,别克 昂科威 2016款 20T 两驱领先型,别克,昂科威,,2016,4.8,,12.80,23.90,到店服务,严选车
gz,五菱荣光 2017款 1.5L加长基本型,五菱荣光,,加长基本型,2017,1.8,1.5L,3.70,5.10,到店服务,严选车
gz,别克 英朗 2018款 15T 双离合精英型,别克,英朗,,2018,1.5,,8.21,13.80,到店服务,严选车
