city,title,brand,brand_series,version,year,distance,disaplacement,price,guiding_price,service,is_strict
sh,马自达 阿特兹 2015款 2.0L 蓝天豪华版,马自达,阿特兹,蓝天豪华版,2017,2.7,2.0L,12.50,20.50,到店服务,非严选
sh,起亚KX5 2016款 1.6T 自动两驱Premium,起亚KX5,,自动两驱Premium,2016,2.1,1.6T,11.44,21.00,到店服务,严选车
sh,别克 凯越 2015款 1.5L 自动经典型,别克,凯越,自动经典型,2015,3.8,1.5L,4.79,10.00,到店服务,严选车
sh,奔驰GLK级 2013款 GLK 300 4MATIC 动感天窗型,奔驰GLK级,,,2013,6.1,,21.80,47.50,到店服务,非严选
sh,日产 轩逸 2016款 1.6XL  CVT尊享版,日产,轩逸,,2016,3.1,,8.50,15.00,到店服务,非严选
sh,福特 福克斯 2013款 两厢经典 1.8L 自动基本型,福特,福克斯,自动基本型,2013,8.7,1.8L,4.11,11.90,到店服务,严选车
sh,日产 天籁 2008款 2.0L XL舒适版,日产,天籁,XL舒适版,2009,13.5,2.0L,5.50,21.70,到店服务,非严选
sh,大众 速腾 2012款 1.6L 自动舒适型,大众,速腾,自动舒适型,2013,5.3,1.6L,7.00,16.40,到店服务,非严选
sh,日产 轩逸 2014款 1.6XV CVT尊享版,日产,轩逸,,2015,2.3,,8.40,15.00,到店服务,非严选
sh,大众 迈腾 2015款 改款 1.8TSI 豪华型,大众,迈腾,SI 豪华型,2015,8.9,1.8T,13.86,25.30,到店服务,严选车
sh,路虎 发现神行 2016款 2.0T S,路虎,发现神行,S,2017,1.3,2.0T,24.59,39.90,到店服务,严选车
sh,奥迪A6L 2016款 30 FSI 舒适型,奥迪A6L,,,2016,2.2,,30.27,50.90,到店服务,严选车
sh,雪佛兰 迈锐宝XL 2017款 1.5T 自动锐驰版,雪佛兰,迈锐宝XL,自动锐驰版,2017,2.7,1.5T,12.64,21.20,到店服务,严选车
sh,标致5008 2017款 380THP 7座精英版,标致5008,,,2018,0.5,,16.60,17.76,到店服务,严选车
sh,奔驰CLA级 2018款 CLA 200 动感型(进口),奔驰CLA级,,,2018,0.5,,23.99,27.90,到店服务,严选车
sh,本田 雅阁 2011款 2.0L MT,本田,雅阁,MT,2012,10.2,2.0L,6.81,20.30,到店服务,严选车
sh,大众 迈腾 2012款 改款 1.8TSI 豪华型,大众,迈腾,SI 豪华型,2012,2.6,1.8T,11.78,25.30,到店服务,严选车
sh,奥迪A4L 2015款 35 TFSI 自动标准型,奥迪A4L,,,2014,4.9,,16.01,17.23,到店服务,严选车
sh,奥迪A4L 2011款 2.0 TFSI 标准型,奥迪A4L,,,2011,10.8,,11.22,33.60,到店服务,严选车
sh,宝马X1 2014款 sDrive18i 领先型,宝马X1,,,2014,4.8,,14.80,34.60,到店服务,严选车
sh,奔驰E级 2014款 改款 E 260 L 运动型,奔驰E级,,,2014,3.9,,24.94,25.92,到店服务,严选车
sh,Jeep 自由侠 2017款 180T 自动劲能版,Jeep,自由侠,,2017,4.9,,9.90,17.20,到店服务,严选车
sh,大众 途观 2015款 1.8TSI 自动两驱风尚版,大众,途观,SI 自动两驱风尚版,2015,6.9,1.8T,12.48,23.00,到店服务,严选车
sh,大众 途观 2013款 1.8TSI 自动两驱舒适版,大众,途观,SI 自动两驱舒适版,2013,9.4,1.8T,11.17,25.80,到店服务,严选车
sh,现代 索纳塔九 2016款 2.0L hybrid HS领先型,现代,索纳塔九,hybrid HS领先型,2017,9.0,2.0L,12.64,24.90,到店服务,严选车
sh,大众 帕萨特 2011款 1.8TSI DSG尊荣版,大众,帕萨特,SI DSG尊荣版,2012,7.5,1.8T,9.86,23.80,到店服务,严选车
sh,大众 帕萨特 2015款 1.4TSI DSG尊荣版,大众,帕萨特,SI DSG尊荣版,2016,5.8,1.4T,12.66,22.70,到店服务,严选车
sh,大众 速腾 2015款 1.6L 自动舒适型,大众,速腾,自动舒适型,2016,2.2,1.6L,10.25,16.40,到店服务,严选车
sh,大众 2016款 途安L 280TSI 自动舒适版,大众,,自动舒适版,2017,2.1,280TSI,12.85,20.30,到店服务,严选车
sh,别克 君威 2017款 20T 精英型,别克,君威,,2017,1.4,,13.41,20.20,到店服务,严选车
sh,日产 奇骏 2014款 2.0L CVT舒适版 2WD,日产,奇骏,CVT舒适版 2WD,2015,3.5,2.0L,13.28,21.40,到店服务,严选车
