city,title,brand,brand_series,version,year,distance,disaplacement,price,guiding_price,service,is_strict
sz,别克 君越 2016款 改款 20T 领先型,别克,君越,,2017,4.1,,15.16,24.90,店内直卖,严选车
sz,现代ix35 2018款 2.0L 自动两驱智勇·畅享版,现代ix35,,自动两驱智勇·畅享版,2018,2.4,2.0L,9.85,15.20,店内直卖,严选车
sz,江淮 瑞风S2 2015款 1.5L CVT豪华智能型,江淮,瑞风S2,CVT豪华智能型,2015,4.3,1.5L,3.77,8.20,到店服务,严选车
sz,大众POLO 2014款 1.4L 手动风尚版,大众POLO,,手动风尚版,2015,3.1,1.4L,4.58,8.20,到店服务,非严选
sz,本田 奥德赛 2017款 2.4L 舒适版,本田,奥德赛,舒适版,2016,5.6,2.4L,18.25,24.90,到店服务,严选车
sz,沃尔沃XC60 2017款 T5 AWD 智进升级版,沃尔沃XC60,,,2017,3.8,,23.94,43.30,到店服务,严选车
sz,铃木 启悦 2015款 1.6L 自动乐享型,铃木,启悦,自动乐享型,2016,5.4,1.6L,6.36,11.20,到店服务,严选车
sz,奥迪A1 2012款 1.4 TFSI Ego(进口),奥迪A1,,,2012,5.1,,9.07,27.10,到店服务,严选车
sz,吉利 帝豪 2014款 三厢 1.5L 手动时尚型,吉利,帝豪,手动时尚型,2015,6.0,1.5L,3.36,3.5,到店服务,严选车
sz,福特 锐界 2015款 2.0T GTDi 两驱豪锐型,福特,锐界,GTDi 两驱豪锐型,2015,6.8,2.0T,18.06,32.50,到店服务,严选车
sz,奇瑞 艾瑞泽5 2017款 1.5L 手动精英版,奇瑞,艾瑞泽5,手动精英版,2018,1.1,1.5L,4.89,7.50,到店服务,严选车
sz,荣威350 2011款 350S 1.5L 自动迅达版,荣威350,,自动迅达版,2012,10.7,1.5L,3.29,10.70,到店服务,严选车
sz,大众 途观 2012款 1.8TSI 自动两驱风尚版,大众,途观,SI 自动两驱风尚版,2012,6.2,1.8T,9.96,25.40,到店服务,严选车
sz,雪铁龙 世嘉 2012款 三厢 1.6L 手动品尚型,雪铁龙,世嘉,手动品尚型,2013,14.9,1.6L,3.08,11.60,到店服务,严选车
sz,起亚 智跑 2016款 2.0L 自动两驱版DLX,起亚,智跑,自动两驱版DLX,2017,2.8,2.0L,11.28,19.30,到店服务,严选车
sz,别克 君越 2016款 20T 领先型,别克,君越,,2017,2.2,,15.19,15.69,到店服务,严选车
sz,别克 昂科威 2016款 20T 两驱领先型,别克,昂科威,,2016,4.8,,12.80,23.90,到店服务,严选车
sz,福特 福克斯 2017款 三厢 1.6L 手动舒适型智行版,福特,福克斯,手动舒适型智行版,2016,2.4,1.6L,6.39,12.60,到店服务,严选车
sz,本田 思域 2016款 220TURBO CVT尊贵版,本田,思域,,2017,1.0,,14.10,16.90,到店服务,严选车
sz,奔驰GLK级 2011款 GLK 300 4MATIC 时尚型(进口),奔驰GLK级,,,2011,5.5,,17.22,53.70,到店服务,严选车
sz,奔驰GLA级 2016款 GLA 200 时尚型,奔驰GLA级,,,2016,5.3,,18.08,18.65,到店服务,严选车
sz,奥迪A4L 2015款 35 TFSI 自动标准型,奥迪A4L,,,2015,1.0,,19.35,19.95,到店服务,严选车
sz,丰田 皇冠 2015款 2.0T 时尚版,丰田,皇冠,时尚版,2016,2.9,2.0T,24.00,32.00,店内直卖,严选车
sz,丰田 卡罗拉 2017款 改款 1.2T S-CVT GL-i,丰田,卡罗拉,S-CVT GL-i,2017,1.3,1.2T,9.66,10.43,到店服务,严选车
sz,哈弗H6 2015款 升级版 1.5T 手动两驱精英型,哈弗H6,,手动两驱精英型,2015,8.9,1.5T,4.78,4.98,到店服务,严选车
sz,奥迪Q5 2015款 40 TFSI 进取型,奥迪Q5,,,2014,3.9,,21.38,21.92,到店服务,严选车
sz,五菱荣光 2017款 1.5L加长基本型,五菱荣光,,加长基本型,2017,1.8,1.5L,3.70,5.10,到店服务,严选车
sz,现代 朗动 2012款 1.6L 手动时尚型,现代,朗动,手动时尚型,2014,5.4,1.6L,4.98,5.2,到店服务,严选车
sz,奔驰B级 2009款 B 200 时尚型(进口),奔驰B级,,,2011,5.2,,8.38,34.60,到店服务,严选车
sz,大众 高尔夫 2017款 1.6L 自动舒适百万辆纪念版,大众,高尔夫,自动舒适百万辆纪念版,2017,1.0,1.6L,10.58,15.70,到店服务,严选车
sz,丰田 花冠 2013款 1.6L 自动卓越版,丰田,花冠,自动卓越版,2015,5.4,1.6L,6.65,6.92,到店服务,严选车
sz,现代 朗动 2015款 1.6L 自动领先型,现代,朗动,自动领先型,2016,3.0,1.6L,6.88,13.90,到店服务,严选车
sz,日产 轩逸 2016款 经典 1.6XE 手动舒适版,日产,轩逸,,2017,2.3,,6.13,10.80,到店服务,严选车
sz,别克 君越 2012款 2.4L SIDI雅致版,别克,君越,SIDI雅致版,2013,6.1,2.4L,9.82,25.60,到店服务,严选车
sz,大众 迈腾 2012款 改款 2.0TSI 尊贵型,大众,迈腾,SI 尊贵型,2012,10.9,2.0T,11.33,29.10,到店服务,严选车
sz,福特 翼虎 2013款 2.0L GTDi 四驱运动型,福特,翼虎,GTDi 四驱运动型,2013,6.0,2.0L,11.40,28.50,到店服务,严选车
sz,东南DX7 2018款 Prime 1.8T DCT尊贵型,东南DX7,,DCT尊贵型,2019,0.1,1.8T,11.97,15.50,到店服务,严选车
sz,福特 翼搏 2013款 1.5L 手动舒适型,福特,翼搏,手动舒适型,2014,2.9,1.5L,4.64,10.30,到店服务,严选车
sz,中华H330 2013款 1.5L 自动豪华型,中华H330,,自动豪华型,2015,4.9,1.5L,3.80,8.20,到店服务,严选车
sz,大众 宝来 2013款 1.6L 自动舒适型,大众,宝来,自动舒适型,2013,5.2,1.6L,6.13,13.90,到店服务,严选车
sz,日产 阳光 2015款 1.5XE CVT舒适版,日产,阳光,,2016,2.5,,5.79,9.70,到店服务,严选车
sz,比亚迪S7 2015款 2.0T 升级版 自动尊贵型,比亚迪S7,,升级版 自动尊贵型,2015,2.5,2.0T,6.79,14.10,到店服务,严选车
sz,大众 途观 2010款 1.8TSI 自动两驱风尚版,大众,途观,SI 自动两驱风尚版,2011,15.1,1.8T,8.86,25.40,到店服务,严选车
sz,丰田 凯美瑞 2015款 骏瑞 2.0S 凌动版,丰田,凯美瑞,,2015,6.3,,13.95,21.70,到店服务,严选车
sz,本田XR-V 2015款 1.8L VTi CVT豪华版,本田XR-V,,VTi CVT豪华版,2016,2.4,1.8L,12.01,17.70,到店服务,严选车
sz,哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,哈弗H6,,自动两驱豪华型,2016,4.5,1.5T,6.97,7.3,到店服务,严选车
sz,起亚K2 2011款 三厢 1.4L AT GLS,起亚K2,,AT GLS,2011,14.9,1.4L,3.12,9.30,到店服务,严选车
sz,奔驰B级 2012款 B 180(进口),奔驰B级,,,2012,5.8,,10.50,10.76,到店服务,严选车
sz,福特 嘉年华 2011款 三厢 1.5L 手动时尚型,福特,嘉年华,手动时尚型,2012,6.7,1.5L,2.85,9.80,到店服务,严选车
sz,大众 速腾 2015款 1.6L 手动时尚型,大众,速腾,手动时尚型,2015,6.1,1.6L,7.05,7.18,到店服务,严选车
sz,斯柯达 昕锐 2013款 1.6L 自动智选型,斯柯达,昕锐,自动智选型,2013,13.3,1.6L,4.67,4.79,到店服务,严选车
sz,大众 凌渡 2015款 280TSI DSG舒适版,大众,凌渡,DSG舒适版,2015,9.2,280TSI,10.29,20.00,到店服务,严选车
sz,别克 凯越 2015款 1.5L 自动经典型,别克,凯越,自动经典型,2016,3.6,1.5L,5.20,5.34,到店服务,严选车
sz,宝马3系 2010款 318i 领先型,宝马3系,,,2010,15.1,,8.40,31.80,到店服务,非严选
sz,标致408 2011款 2.0L 自动舒适版,标致408,,自动舒适版,2012,15.7,2.0L,3.82,15.40,到店服务,严选车
sz,MG5 2012款 1.5L 自动精英版,MG5,,自动精英版,2013,12.6,1.5L,3.40,3.52,到店服务,严选车
sz,海马S5 2016款 1.5T CVT创享版,海马S5,,CVT创享版,2016,2.6,1.5T,5.69,10.80,到店服务,严选车
sz,本田 锋范 2015款 1.5L CVT舒适版,本田,锋范,CVT舒适版,2015,4.0,1.5L,6.40,6.63,到店服务,严选车
sz,日产 轩逸 2016款 经典 1.6XE 自动舒适版,日产,轩逸,,2016,7.2,,6.29,6.5,到店服务,严选车
sz,别克 英朗 2016款 15N 自动进取型,别克,英朗,,2016,3.3,,6.76,13.00,店内直卖,严选车
sz,传祺GS4 2015款 200T G-DCT豪华版,传祺GS4,,,2015,5.9,,7.24,14.80,到店服务,严选车
sz,本田 凌派 2015款 1.8L 自动超配限量版,本田,凌派,自动超配限量版,2015,4.4,1.8L,9.34,9.58,到店服务,严选车
sz,大众 速腾 2012款 1.6L 自动时尚型,大众,速腾,自动时尚型,2012,9.6,1.6L,5.96,15.60,到店服务,严选车
sz,本田 冠道 2017款 240TURBO 两驱豪华版,本田,冠道,,2018,3.0,,22.17,27.50,到店服务,严选车
sz,本田 飞度 2011款 1.3L 手动舒适版,本田,飞度,手动舒适版,2013,7.8,1.3L,4.01,8.70,到店服务,严选车
sz,长安 逸动 2015款 1.6L 自动豪华型,长安,逸动,自动豪华型,2015,3.2,1.6L,4.94,9.60,到店服务,严选车
sz,日产 轩逸 2012款 经典 1.6XE 手动舒适版,日产,轩逸,,2015,6.4,,4.76,10.80,到店服务,严选车
sz,奥迪A6L 2012款 35 FSI quattro 豪华型,奥迪A6L,,,2013,5.2,,22.00,72.70,到店服务,非严选
sz,福特 福克斯 2015款 三厢 1.6L 自动风尚型,福特,福克斯,自动风尚型,2015,4.2,1.6L,6.69,14.80,店内直卖,严选车
sz,标致508 2012款 2.0L 自动智享版,标致508,,自动智享版,2013,8.5,2.0L,7.09,7.24,到店服务,严选车
sz,福特 致胜 2013款 2.3L 时尚型,福特,致胜,时尚型,2013,4.5,2.3L,6.37,19.50,到店服务,严选车
sz,别克 英朗 2012款 XT 1.6L 自动时尚版,别克,英朗,自动时尚版,2013,5.9,1.6L,5.18,5.37,到店服务,严选车
sz,日产 骊威 2010款 劲悦版 1.6L 手动全能型,日产,骊威,手动全能型,2012,7.2,1.6L,3.27,3.38,到店服务,严选车
sz,传祺GS5 2012款 2.0L 自动两驱周年纪念版,传祺GS5,,自动两驱周年纪念版,2014,4.0,2.0L,5.82,17.00,到店服务,严选车
sz,吉利 帝豪 2014款 三厢 1.3T CVT尊贵型,吉利,帝豪,CVT尊贵型,2015,7.2,1.3T,4.50,10.90,到店服务,非严选
sz,福特 蒙迪欧-致胜 2011款 2.0L GTDi200豪华型,福特,蒙迪欧-致胜,GTDi200豪华型,2011,8.7,2.0L,6.47,6.63,到店服务,严选车
sz,奇瑞 艾瑞泽5 2016款 1.5L CVT领潮版,奇瑞,艾瑞泽5,CVT领潮版,2016,7.6,1.5L,4.50,4.59,到店服务,严选车
sz,奥迪A6L 2015款 30 FSI 百万纪念舒享型,奥迪A6L,,,2015,8.3,,25.06,48.80,到店服务,严选车
sz,福特 翼虎 2013款 1.6L GTDi 四驱精英型,福特,翼虎,GTDi 四驱精英型,2013,8.7,1.6L,9.50,26.00,到店服务,严选车
sz,丰田 威驰 2014款 1.5L 自动智臻版,丰田,威驰,自动智臻版,2016,3.9,1.5L,6.22,9.50,到店服务,严选车
sz,本田 飞度 2011款 1.5L 自动豪华版,本田,飞度,自动豪华版,2013,6.9,1.5L,5.57,5.71,到店服务,严选车
sz,大众 桑塔纳 2013款 1.4L 手动舒适版,大众,桑塔纳,手动舒适版,2013,7.5,1.4L,4.19,10.70,到店服务,严选车
sz,宝骏560 2015款 1.8L 手动精英型,宝骏560,,手动精英型,2015,7.0,1.8L,4.42,4.58,到店服务,严选车
sz,现代 朗动 2015款 1.6L 自动领先型,现代,朗动,自动领先型,2015,1.9,1.6L,7.24,7.52,到店服务,严选车
sz,长安 悦翔V3 2015款 1.4L 手动美满型 国V,长安,悦翔V3,手动美满型 国V,2017,1.1,1.4L,3.04,3.14,到店服务,严选车
sz,丰田 花冠 2013款 1.6L 自动卓越版,丰田,花冠,自动卓越版,2013,10.1,1.6L,5.72,5.86,到店服务,严选车
sz,现代 朗动 2016款 1.6L 自动尊贵型,现代,朗动,自动尊贵型,2017,3.2,1.6L,7.92,8.11,到店服务,严选车
sz,奇瑞 艾瑞泽5 2016款 1.5L CVT领潮版,奇瑞,艾瑞泽5,CVT领潮版,2016,3.9,1.5L,4.38,7.80,到店服务,严选车
sz,日产 轩逸 2016款 经典 1.6XE 自动舒适版,日产,轩逸,,2017,4.2,,7.16,7.44,到店服务,严选车
sz,丰田 雷凌 2014款 1.8GS CVT精英版,丰田,雷凌,,2015,3.7,,9.09,9.32,到店服务,严选车
sz,福特 嘉年华 2013款 两厢 1.5L 自动时尚型,福特,嘉年华,自动时尚型,2014,4.0,1.5L,4.63,4.73,到店服务,严选车
sz,大众 途观 2012款 2.0TSI 舒适版(进口),大众,途观,SI 舒适版(进口),2012,6.4,2.0T,14.00,39.70,到店服务,非严选
sz,哈弗H6 2014款 运动版 1.5T 手动四驱精英型,哈弗H6,,手动四驱精英型,2015,10.4,1.5T,5.47,5.63,到店服务,严选车
sz,北汽绅宝 绅宝D50 2014款 1.5L 手动舒适版,北汽绅宝,绅宝D50,手动舒适版,2015,4.8,1.5L,3.00,8.90,到店服务,非严选
sz,别克 昂科威 2016款 20T 两驱精英型,别克,昂科威,,2016,5.9,,14.50,25.60,到店服务,非严选
sz,福特 福克斯 2013款 两厢经典 1.8L 手动基本型,福特,福克斯,手动基本型,2014,5.5,1.8L,4.10,4.27,到店服务,严选车
sz,福特 翼搏 2013款 1.5L 自动风尚型,福特,翼搏,自动风尚型,2015,5.6,1.5L,5.63,5.84,到店服务,严选车
sz,MG3 2014款 1.5L AMT精英版,MG3,,AMT精英版,2014,4.8,1.5L,3.25,9.10,到店服务,非严选
sz,比亚迪G6 2013款 1.5TID 自动尊荣型,比亚迪G6,,ID 自动尊荣型,2013,4.0,1.5T,4.27,4.41,到店服务,严选车
sz,福特 福克斯 2012款 三厢经典 1.8L 自动基本型,福特,福克斯,自动基本型,2012,3.5,1.8L,3.75,11.90,到店服务,严选车
sz,福特 福克斯 2013款 三厢经典 1.8L 自动百万纪念版,福特,福克斯,自动百万纪念版,2014,5.8,1.8L,4.80,12.50,到店服务,非严选
sz,现代 朗动 2015款 1.6L 自动领先型,现代,朗动,自动领先型,2016,3.2,1.6L,7.11,13.90,到店服务,严选车
sz,吉利 博越 2016款 1.8TD 自动智慧型,吉利,博越,D 自动智慧型,2017,2.6,1.8T,9.73,15.20,到店服务,严选车
sz,日产 阳光 2014款 1.5XE CVT舒适版,日产,阳光,,2015,4.8,,5.10,5.35,到店服务,严选车
sz,福特 福克斯 2012款 三厢 1.6L 自动舒适型,福特,福克斯,自动舒适型,2013,4.5,1.6L,5.50,5.66,到店服务,严选车
sz,传祺GS5 2013款 1.8T 自动两驱精英版,传祺GS5,,自动两驱精英版,2014,7.2,1.8T,5.90,17.80,到店服务,严选车
sz,日产 轩逸 2016款 1.6XL CVT豪华版,日产,轩逸,,2016,7.2,,9.07,9.26,到店服务,严选车
sz,福特 福克斯 2012款 两厢 1.6L 自动舒适型,福特,福克斯,自动舒适型,2013,6.2,1.6L,5.72,5.83,到店服务,严选车
sz,长安CS75 2014款 1.8T 自动精英型 国V,长安CS75,,自动精英型 国V,2016,4.4,1.8T,6.88,7.03,到店服务,严选车
sz,纳智捷 优6 SUV 2015款 1.8T 智尊型,纳智捷,优6,智尊型,2016,3.0,1.8T,6.67,6.93,到店服务,严选车
sz,比亚迪S7 2015款 1.5T 升级版 手动尊贵型,比亚迪S7,,升级版 手动尊贵型,2015,3.9,1.5T,5.46,5.57,到店服务,严选车
sz,江淮 瑞风S3 2014款 1.5L 手动豪华智能型,江淮,瑞风S3,手动豪华智能型,2014,7.8,1.5L,3.30,8.10,到店服务,非严选
sz,本田XR-V 2015款 1.8L EXi  CVT舒适版,本田XR-V,,EXi  CVT舒适版,2015,4.3,1.8L,11.50,16.30,到店服务,非严选
sz,福特 福克斯 2012款 三厢 1.6L 自动舒适型,福特,福克斯,自动舒适型,2015,5.1,1.6L,6.32,6.5,到店服务,严选车
sz,起亚K2 2015款 三厢 1.4L AT GLS,起亚K2,,AT GLS,2016,3.5,1.4L,5.41,5.56,到店服务,严选车
sz,丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版,丰田,YARiS,,2018,1.0,,7.00,9.30,到店服务,非严选
sz,别克 英朗 2014款 XT 1.6L 自动时尚版,别克,英朗,自动时尚版,2014,2.2,1.6L,6.28,16.30,到店服务,非严选
sz,江淮 瑞风S3 2014款 1.5L 手动豪华智能型,江淮,瑞风S3,手动豪华智能型,2015,3.8,1.5L,3.68,3.78,到店服务,严选车
sz,别克 昂科拉 2014款 1.4T 自动两驱都市精英型,别克,昂科拉,自动两驱都市精英型,2014,4.1,1.4T,7.50,17.40,到店服务,非严选
sz,东风风行 景逸X5 2016款 1.6L 手动尊享型,东风风行,景逸X5,手动尊享型,2016,5.9,1.6L,4.90,9.40,到店服务,非严选
sz,江淮 瑞风S3 2014款 1.5L 手动豪华智能型,江淮,瑞风S3,手动豪华智能型,2015,4.5,1.5L,3.63,8.10,到店服务,严选车
sz,宝骏560 2016款 1.8L 手动精英型,宝骏560,,手动精英型,2016,0.8,1.8L,6.00,8.40,到店服务,非严选
sz,雪佛兰 迈锐宝 2014款 2.0L 自动舒适版,雪佛兰,迈锐宝,自动舒适版,2015,6.0,2.0L,8.11,8.33,到店服务,严选车
sz,哈弗H6 2016款 升级版 1.5T 手动两驱精英型,哈弗H6,,手动两驱精英型,2016,1.8,1.5T,6.16,6.37,到店服务,严选车
sz,现代 瑞纳 2014款 1.4L 自动领先型GLX,现代,瑞纳,自动领先型GLX,2014,7.0,1.4L,4.86,5.02,到店服务,严选车
sz,荣威350 2015款 1.5L 手动豪华天窗版,荣威350,,手动豪华天窗版,2016,2.7,1.5L,4.50,8.50,到店服务,非严选
